Constituency,Child Maintenance Arrears
Glenrothes,"£4,648,000"
Banff and Buchan,"£4,534,000"
Livingston,"£4,434,000"
Dunfermline and West Fife,"£4,166,000"
Airdrie and Shotts,"£4,155,000"
North Ayrshire and Arran,"£4,150,000"
"Coatbridge, Chryston and Bellshill","£4,129,000"
Falkirk,"£4,035,000"
Dundee East,"£4,019,000"
Dundee West,"£4,010,000"
Glasgow East,"£4,000,000"
"East Kilbride, Strathaven and Lesmahagow","£3,954,000"
West Dunbartonshire,"£3,934,000"
Kirkcaldy and Cowdenbeath,"£3,831,000"
Perth and North Perthshire,"£3,817,000"
Kilmarnock and Loudoun,"£3,811,000"
Glasgow North East,"£3,720,000"
Linlithgow and East Falkirk,"£3,714,000"
Glasgow South West,"£3,704,000"
Central Ayrshire,"£3,621,000"
"Ayr, Carrick and Cumnock","£3,620,000"
Inverclyde,"£3,497,000"
Angus,"£3,422,000"
Rutherglen and Hamilton West,"£3,418,000"
Ochil and South Perthshire,"£3,376,000"
"Cumbernauld, Kilsyth and Kirkintilloch East","£3,347,000"
Aberdeen North,"£3,346,000"
Moray,"£3,296,000"
Dumfries and Galloway,"£3,260,000"
"Inverness, Nairn, Badenoch and Strathspey","£3,256,000"
Glasgow North West,"£3,207,000"
Motherwell and Wishaw,"£3,192,000"
Argyll and Bute,"£3,123,000"
"Berwickshire, Roxburgh and Selkirk","£3,105,000"
Paisley and Renfrewshire South,"£3,098,000"
Midlothian,"£3,061,000"
East Lothian,"£2,990,000"
Lanark and Hamilton East,"£2,925,000"
Paisley and Renfrewshire North,"£2,888,000"
"Caithness, Sutherland and Easter Ross","£2,786,000"
"Dumfriesshire, Clydesdale and Tweeddale","£2,731,000"
Glasgow South,"£2,686,000"
Stirling,"£2,534,000"
Gordon,"£2,274,000"
Aberdeen South,"£2,249,000"
"Ross, Skye and Lochaber","£2,211,000"
Edinburgh West,"£2,059,000"
Edinburgh South West,"£2,039,000"
West Aberdeenshire and Kincardine,"£2,002,000"
Glasgow Central,"£1,994,000"
Edinburgh North and Leith,"£1,979,000"
Edinburgh East,"£1,901,000"
North East Fife,"£1,788,000"
Glasgow North,"£1,779,000"
East Renfrewshire,"£1,745,000"
Orkney and Shetland,"£1,612,000"
Edinburgh South,"£1,602,000"
East Dunbartonshire,"£1,469,000"
Na h-Eileanan an Iar,"£865,000"
